model,seed,subset,n_cases,Recall@20,NDCG@20,MRR@20,Coverage@20
MetadataSASRec,43,div_homogeneous,184229,0.0767902990300115,0.0295329944861019,0.0167313662934849,0.45425
MetadataSASRec,43,div_medium,189812,0.0657229258424124,0.0256481995028176,0.014775925892237,0.44315
MetadataSASRec,43,len_long,187368,0.0622411511037103,0.0241014278108933,0.0137467138231044,0.4363
MetadataSASRec,43,len_medium,182053,0.0670354237502265,0.0260588119141432,0.0149640053391695,0.44155
MetadataSASRec,43,len_short,188849,0.0691981424312546,0.0272787754059545,0.0159351837910822,0.4496
MetadataSASRec,43,target_pop_head,299382,0.1076116800609255,0.042878164554656,0.0252608793867843,0.4625
MetadataSASRec,43,target_pop_mid,213442,0.0209284020951827,0.0070136245024342,0.0033473988826079,0.47365
MetadataSASRec,43,target_pop_tail,45446,0.0055010341944285,0.0017061560173717,0.0007074716917993,0.39355
MetadataSASRec,44,all,558270,0.0629068371934726,0.0244832363336952,0.0140768788499883,0.50595
MetadataSASRec,44,div_heterogeneous,184229,0.0534172144450656,0.0211510663316366,0.0124043161225325,0.4315
MetadataSASRec,44,div_homogeneous,184229,0.074157705898637,0.0286435364533993,0.0163100434426474,0.44225
MetadataSASRec,44,div_medium,189812,0.061197395317472,0.0236794642674206,0.0135327661436023,0.436
MetadataSASRec,44,len_long,187368,0.0588841210879125,0.0226296164404204,0.0128276181568268,0.42545
MetadataSASRec,44,len_medium,182053,0.06306405277584,0.0245195370883588,0.0140830217664213,0.43825
MetadataSASRec,44,len_short,188849,0.0667464482205359,0.0262873252665164,0.0153104206807148,0.43975
MetadataSASRec,44,target_pop_head,299382,0.1007408595039113,0.0399230732428948,0.0233910346386753,0.45805
MetadataSASRec,44,target_pop_mid,213442,0.0221231060428594,0.007675783308207,0.0038455190728012,0.4618
MetadataSASRec,44,target_pop_tail,45446,0.0052149804163182,0.0017091117708347,0.0007712261024122,0.38185
TopPop,fixed,all,558270,0.0160764504630375,0.0065620530376579,0.0039246987935488,0.003
TopPop,fixed,div_heterogeneous,184229,0.0127124394096477,0.0051397665108966,0.0030494080953587,0.00235
TopPop,fixed,div_homogeneous,184229,0.0164306379560221,0.0066906833239096,0.0039928127831301,0.0029
TopPop,fixed,div_medium,189812,0.0189977451372937,0.007817658560664,0.0047081337599908,0.00295
TopPop,fixed,len_long,187368,0.018236838734469,0.0075254157699775,0.0045451770356121,0.003
TopPop,fixed,len_medium,182053,0.0165611113247241,0.0067914830854484,0.0040833534965793,0.00195
TopPop,fixed,len_short,188849,0.0134657848333854,0.0053850715502278,0.0031561412056891,0.00175
TopPop,fixed,target_pop_head,299382,0.0299784222164325,0.0122365317531891,0.0073185481941951,0.00295
TopPop,fixed,target_pop_mid,213442,0.0,0.0,0.0,0.00295
TopPop,fixed,target_pop_tail,45446,0.0,0.0,0.0,0.0024
